state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,recharge_total,minutes_total,calls_total,rechargesPerMinute,cluster,prob
CO,81,area_code_408,0,0,0,115.3,99,19.6,224.7,117,19.1,152.5,98,6.86,18.0,2,4.86,1,0,50.42,510.5,317,0.09876591576885407,2,0.00014657153
RI,125,area_code_408,0,0,0,113.0,108,19.21,169.2,107,14.38,156.6,61,7.05,9.2,5,2.48,2,1,43.12,447.99999999999994,283,0.09625,3,0.97777903
CT,119,area_code_408,0,0,0,294.2,100,50.01,232.5,53,19.76,195.0,64,8.78,9.0,1,2.43,0,1,80.98,730.7,218,0.11082523607499657,3,0.99954754
NC,122,area_code_415,0,0,0,215.6,86,36.65,167.8,59,14.26,207.0,67,9.32,6.4,8,1.73,3,0,61.959999999999994,596.8,223,0.10382037533512065,1,6.959978e-05
WY,34,area_code_408,0,0,0,128.8,80,21.9,208.7,93,17.74,202.1,103,9.09,14.0,7,3.78,1,0,52.510000000000005,553.6,284,0.09485187861271677,2,0.00014848282
OR,138,area_code_415,1,1,28,211.2,117,35.9,312.5,98,26.56,178.0,118,8.01,10.7,2,2.89,3,1,73.36,712.4000000000001,338,0.10297585626052778,3,0.99863213
FL,90,area_code_415,0,1,24,71.2,82,12.1,181.6,103,15.44,186.9,111,8.41,12.9,1,3.48,1,0,39.43,452.6,298,0.08711886875828545,2,0.0006803284
KY,73,area_code_408,0,0,0,94.9,121,16.13,253.2,83,21.52,175.1,86,7.88,14.2,2,3.83,2,0,49.36,537.4000000000001,294,0.09184964644585038,2,0.0007593966
SC,19,area_code_510,0,0,0,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57,1,1,77.48,713.8999999999999,359,0.10853060652752489,3,0.9992048
WA,120,area_code_408,0,1,28,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,1,0,71.42999999999999,700.0,281,0.10204285714285713,0,0.0010903619
MT,160,area_code_415,0,0,0,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,3,0,54.42,634.1000000000001,251,0.08582242548493926,2,0.00066334417
PA,141,area_code_510,0,0,0,146.5,121,24.91,169.9,125,14.44,238.8,112,10.75,8.2,5,2.21,0,0,52.31,563.4000000000001,363,0.09284700035498757,2,0.00014480176
MA,90,area_code_408,0,0,0,157.9,72,26.84,234.0,93,19.89,210.0,86,9.45,12.2,5,3.29,2,0,59.470000000000006,614.1,258,0.09684090539000163,1,2.8654407e-05
VT,72,area_code_415,0,0,0,139.9,117,23.78,223.6,96,19.01,240.8,93,10.84,12.7,4,3.43,2,0,57.06000000000001,617.0,312,0.09247974068071314,2,1.4720903e-05
MN,117,area_code_408,0,1,21,153.2,112,26.04,263.3,110,22.38,135.0,85,6.08,11.9,7,3.21,1,0,57.71,563.4,315,0.1024316648917288,0,1.5243064e-06
IL,79,area_code_408,1,0,0,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27,2,0,57.81000000000001,671.1,375,0.08614215467143496,2,0.005258532
AR,87,area_code_408,0,0,0,185.8,119,31.59,192.3,83,16.35,200.0,96,9.0,6.6,4,1.78,1,0,58.72,584.7,303,0.10042756969386009,1,1.529476e-05
MD,102,area_code_415,0,0,0,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94,1,0,61.61999999999999,640.1,271,0.09626620840493672,1,8.919746e-05
MT,49,area_code_408,0,0,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1,0,68.01,613.1999999999999,354,0.1109099804305284,1,0.0012990321
VT,67,area_code_408,0,0,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10.0,2,2.7,6,0,74.03,686.5,334,0.10783685360524399,1,0.0040583797
CO,107,area_code_415,0,0,0,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81,2,0,52.550000000000004,523.8000000000001,286,0.10032455135547919,2,0.0006293866
NC,190,area_code_408,0,0,0,182.2,101,30.97,212.3,95,18.05,233.0,123,10.49,9.3,4,2.51,2,0,62.019999999999996,636.8,325,0.09739321608040201,1,0.00044061404
WA,118,area_code_510,0,0,0,113.0,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2,0,44.08,478.20000000000005,288,0.09217900460058552,2,0.0018530109
TN,120,area_code_415,0,0,0,185.7,133,31.57,235.1,149,19.98,256.4,78,11.54,16.9,6,4.56,0,0,67.64999999999999,694.0999999999999,366,0.09746434231378764,1,0.0007084018
AR,94,area_code_408,0,0,0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,0,0,45.980000000000004,448.79999999999995,308,0.10245098039215689,2,0.00077941327
DC,115,area_code_510,0,1,29,222.6,81,37.84,190.3,109,16.18,201.2,87,9.05,11.5,2,3.11,1,0,66.18,625.5999999999999,280,0.10578644501278775,0,0.0025451754
MN,61,area_code_415,0,0,0,197.3,67,33.54,264.5,106,22.48,210.5,116,9.47,9.0,6,2.43,1,0,67.92,681.3,296,0.09969176574196391,1,0.00019074131
IA,143,area_code_510,0,1,33,141.4,130,24.04,186.4,114,15.84,210.0,111,9.45,7.7,6,2.08,1,0,51.41,545.5,362,0.09424381301558203,0,0.002147972
KS,110,area_code_510,0,0,0,208.0,69,35.36,95.1,94,8.08,178.5,129,8.03,8.0,11,2.16,1,0,53.629999999999995,489.6,304,0.10953839869281044,1,0.00030681206
ND,104,area_code_415,0,0,0,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,1,0,50.04,564.1,304,0.08870767594398156,2,0.0038239404
MT,16,area_code_510,0,0,0,153.2,65,26.04,229.7,90,19.52,148.2,94,6.67,10.7,8,2.89,1,0,55.120000000000005,541.8,258,0.10173495754891106,2,0.00012498019
IL,183,area_code_510,0,0,0,108.3,87,18.41,183.6,116,15.61,176.6,109,7.95,13.5,2,3.65,0,0,45.62,482.0,314,0.09464730290456431,2,0.00294658
DC,147,area_code_408,0,0,0,168.6,92,28.66,187.7,107,15.95,216.5,95,9.74,14.4,8,3.89,2,0,58.24,587.1999999999999,304,0.09918256130790193,1,0.00040698436
KY,58,area_code_415,0,0,0,247.2,116,42.02,303.7,103,25.81,105.4,94,4.74,9.3,2,2.51,2,1,75.08,665.5999999999999,317,0.11280048076923078,3,0.9986738
MS,102,area_code_510,1,0,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12.0,8,3.24,3,0,68.67999999999999,627.3,248,0.10948509485094851,1,0.00211135
TN,123,area_code_415,0,0,0,166.9,98,28.37,221.8,77,18.85,243.9,114,10.98,12.8,4,3.46,3,0,61.660000000000004,645.4,296,0.09553765106910445,1,0.000112417576
IA,64,area_code_415,0,1,43,118.4,100,20.13,144.1,108,12.25,158.1,91,7.11,8.5,6,2.3,1,0,41.78999999999999,429.1,306,0.09738988580750406,0,0.00015994973
AK,103,area_code_510,0,0,0,190.9,62,32.45,226.6,53,19.26,230.1,96,10.35,7.8,3,2.11,2,0,64.17000000000002,655.4,216,0.09790967348184318,1,1.2056376e-05
MN,152,area_code_415,0,0,0,317.8,60,54.03,152.9,100,13.0,123.4,63,5.55,10.4,7,2.81,1,1,75.39,604.5,231,0.12471464019851117,3,0.99731976
WV,124,area_code_415,0,0,0,312.0,112,53.04,180.0,109,15.3,168.6,94,7.59,12.8,4,3.46,1,1,79.39,673.4,320,0.11789426789426789,3,0.99823135
OR,97,area_code_415,0,0,0,146.0,121,24.82,203.0,141,17.26,151.8,120,6.83,13.3,2,3.59,1,0,52.5,514.1,385,0.10212021007586072,2,0.002660194
MS,131,area_code_415,0,0,0,131.6,95,22.37,179.3,109,15.24,251.2,129,11.3,15.5,3,4.19,1,1,53.099999999999994,577.5999999999999,337,0.09193213296398893,3,0.9812213
ME,57,area_code_415,0,1,33,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3.0,2,0,65.75,662.3000000000001,287,0.09927525290653781,0,3.596195e-05
MN,157,area_code_510,0,0,0,185.1,92,31.47,213.0,85,18.11,196.1,85,8.82,8.5,5,2.3,2,0,60.699999999999996,602.7,269,0.10071345611415296,1,0.000264723
GA,194,area_code_510,0,0,0,193.3,106,32.86,169.0,150,14.37,225.2,122,10.13,11.8,4,3.19,0,0,60.55,599.3,382,0.10103454029701318,1,0.0006491542
DC,66,area_code_415,0,0,0,146.4,107,24.89,196.5,99,16.7,230.1,106,10.35,7.8,2,2.11,1,0,54.050000000000004,580.8,315,0.09306129476584024,2,4.9405586e-05
GA,155,area_code_510,0,0,0,71.2,90,12.1,304.4,119,25.87,183.3,103,8.25,8.6,4,2.32,0,0,48.54,567.5,316,0.0855330396475771,2,0.00019155255
NY,123,area_code_415,0,0,0,123.2,104,20.94,190.0,117,16.15,170.3,95,7.66,12.9,5,3.48,4,1,48.23,496.4,325,0.09715954875100725,3,0.9990208
OK,116,area_code_510,0,0,0,205.0,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03,2,0,61.129999999999995,626.0,306,0.09765175718849839,1,9.595087e-06
OK,63,area_code_415,0,0,0,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46,1,0,56.51,620.0,339,0.09114516129032257,2,1.2671553e-05
GA,64,area_code_510,0,0,0,216.9,78,36.87,211.0,115,17.94,179.8,116,8.09,11.4,5,3.08,3,0,65.98,619.1,317,0.10657405911807463,1,7.4972827e-06
NJ,96,area_code_510,0,0,0,150.0,122,25.5,218.5,116,18.57,212.4,89,9.56,9.8,1,2.65,3,0,56.28,590.6999999999999,331,0.0952767902488573,2,0.002606679
MN,53,area_code_415,0,0,0,164.1,106,27.9,206.0,56,17.51,194.7,124,8.76,11.4,2,3.08,1,0,57.24999999999999,576.1999999999999,289,0.09935786185352308,1,0.00040620856
ME,105,area_code_510,0,0,0,212.0,113,36.04,226.6,128,19.26,193.6,114,8.71,8.9,7,2.4,3,0,66.41,641.1,365,0.10358758384027451,1,0.00016616644
MI,53,area_code_510,0,1,37,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12.0,9,3.24,2,0,58.88,610.7,321,0.09641395120353692,0,1.7733679e-05
MT,101,area_code_415,0,0,0,154.4,130,26.25,217.2,101,18.46,185.4,52,8.34,13.9,4,3.75,1,0,56.8,570.9,288,0.09949203012786828,2,0.0026523923
NE,129,area_code_510,0,1,30,177.3,95,30.14,211.8,102,18.0,240.2,108,10.81,9.3,7,2.51,3,0,61.46,638.5999999999999,315,0.09624177889132479,0,1.9586349e-05
ND,122,area_code_408,0,0,0,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38,1,1,75.25,748.0999999999999,383,0.10058815666354767,3,0.9990483
VA,163,area_code_415,0,0,0,202.9,100,34.49,178.6,46,15.18,203.8,116,9.17,12.8,3,3.46,5,0,62.300000000000004,598.0999999999999,270,0.10416318341414481,1,0.0030262219
VT,93,area_code_408,0,0,0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,0,0,54.49999999999999,545.8,321,0.09985342616342982,2,0.0010660971
OH,115,area_code_510,1,0,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,1,88.97,778.0,303,0.1143573264781491,3,0.9982291
AL,25,area_code_408,0,0,0,264.9,80,45.03,281.2,66,23.9,166.1,80,7.47,8.4,4,2.27,1,1,78.67,720.5999999999999,231,0.10917291146267001,3,0.99717474
DC,73,area_code_408,0,0,0,122.0,92,20.74,138.3,114,11.76,224.2,128,10.09,5.8,5,1.57,1,0,44.160000000000004,490.3,340,0.09006730573118499,2,0.00037271832
ND,120,area_code_415,0,0,0,177.2,88,30.12,270.4,99,22.98,231.5,90,10.42,14.0,2,3.78,2,0,67.3,693.0999999999999,281,0.09709998557206753,1,0.005350179
TN,196,area_code_415,0,0,0,133.1,80,22.63,206.5,120,17.55,221.6,96,9.97,10.3,8,2.78,1,0,52.93,571.5,305,0.09261592300962379,2,2.503714e-05
DE,97,area_code_510,0,0,0,225.1,90,38.27,279.5,127,23.76,233.8,103,10.52,8.8,4,2.38,0,1,74.92999999999999,747.2,324,0.10028104925053531,3,0.9962878
NY,148,area_code_408,0,0,0,208.4,120,35.43,174.4,99,14.82,310.7,105,13.98,11.2,4,3.02,1,0,67.25,704.7,329,0.09543067972186746,1,2.9758437e-05
AL,85,area_code_408,0,1,30,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,1,0,60.69,590.5,318,0.10277730736663844,0,5.6066538e-06
OK,86,area_code_510,1,0,0,162.4,131,27.61,167.0,102,14.2,128.9,118,5.8,11.4,2,3.08,2,1,50.69,469.69999999999993,355,0.10791994890355547,3,0.99826413
MS,78,area_code_415,0,1,13,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2,0,75.67,709.9999999999999,330,0.10657746478873241,1,0.00314828
MD,106,area_code_415,0,0,0,208.3,89,35.41,169.4,67,14.4,102.0,90,4.59,15.9,4,4.29,3,0,58.68999999999999,495.6,253,0.11842211460855526,1,6.882368e-05
NE,147,area_code_415,0,1,38,243.4,126,41.38,273.8,109,23.27,282.9,91,12.73,14.1,8,3.81,2,0,81.19000000000001,814.2,336,0.09971751412429379,0,0.0023076236
AR,145,area_code_415,0,0,0,224.2,89,38.11,314.9,121,26.77,182.9,121,8.23,16.1,3,4.35,1,1,77.46,738.0999999999999,335,0.10494512938626203,3,0.9997918
IL,91,area_code_415,0,0,0,189.3,100,32.18,239.3,107,20.34,89.7,89,4.04,9.9,3,2.67,3,0,59.23,528.2,302,0.11213555471412343,1,4.431402e-05
IN,81,area_code_408,0,1,46,168.3,124,28.61,270.9,103,23.03,222.5,98,10.01,6.7,2,1.81,4,0,63.46,668.4000000000001,331,0.09494314781567922,0,0.0022728203
UT,116,area_code_415,0,1,24,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,10.7,6,2.89,1,0,70.9,740.0,273,0.09581081081081082,0,1.2073715e-05
LA,69,area_code_415,0,1,37,155.0,98,26.35,142.4,105,12.1,143.7,117,6.47,5.9,4,1.59,1,0,46.510000000000005,446.99999999999994,325,0.10404921700223715,0,4.0818482e-05
ID,135,area_code_510,0,0,0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,0,0,53.9,528.7,282,0.1019481747682996,2,0.004883176
KY,73,area_code_510,0,0,0,234.7,102,39.9,195.7,110,16.63,253.4,71,11.4,8.4,8,2.27,2,0,70.2,692.1999999999999,293,0.10141577578734472,1,0.0004123354
MI,48,area_code_415,0,0,0,240.0,88,40.8,141.0,117,11.99,128.9,137,5.8,7.1,9,1.92,1,0,60.51,517.0,352,0.11704061895551257,1,1.0968489e-05
NH,125,area_code_415,1,0,0,298.4,78,50.73,270.5,142,22.99,107.3,84,4.83,12.2,2,3.29,0,1,81.84,688.4,306,0.11888436955258572,3,0.99996877
WV,100,area_code_415,0,0,0,166.0,102,28.22,236.1,97,20.07,134.3,93,6.04,10.9,4,2.94,1,0,57.269999999999996,547.3000000000001,297,0.10464096473597659,1,1.9661205e-05
OR,165,area_code_415,0,1,33,111.6,140,18.97,213.3,111,18.13,267.6,115,12.04,16.0,3,4.32,0,0,53.459999999999994,608.5,369,0.08785538208709942,0,0.0009870167
SD,64,area_code_415,0,0,0,174.5,98,29.67,180.2,103,15.32,179.0,89,8.06,10.7,2,2.89,2,0,55.940000000000005,544.4000000000001,294,0.10275532696546656,1,1.169742e-05
MD,116,area_code_510,1,1,27,175.5,137,29.84,210.6,60,17.9,294.8,121,13.27,6.9,5,1.86,1,0,62.86999999999999,687.8000000000001,324,0.09140738586798486,0,0.00025286013
ND,147,area_code_408,1,1,35,157.5,109,26.78,189.6,67,16.12,227.0,76,10.22,11.1,2,3.0,3,1,56.120000000000005,585.2,257,0.09589883800410116,3,0.9955063
TN,115,area_code_415,0,0,0,206.2,113,35.05,176.4,102,14.99,297.1,119,13.37,11.0,7,2.97,1,0,66.38,690.7,342,0.09610540031851743,1,2.8593784e-05
MO,84,area_code_415,0,1,35,207.5,138,35.28,201.0,116,17.09,164.5,107,7.4,7.5,16,2.03,4,0,61.800000000000004,580.5,381,0.10645994832041344,0,0.008729501
IL,86,area_code_510,0,1,16,144.8,105,24.62,206.2,111,17.53,255.4,117,11.49,11.6,2,3.13,4,0,56.77000000000001,618.0,339,0.09186084142394824,0,0.0023358047
UT,134,area_code_415,0,0,0,258.8,85,44.0,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,0,66.66,592.8,314,0.11244939271255061,1,4.0218765e-05
MI,105,area_code_415,0,0,0,226.9,106,38.57,182.2,77,15.49,203.9,107,9.18,11.6,2,3.13,0,1,66.37,624.6,292,0.10626000640409862,3,0.98473376
AR,88,area_code_408,0,0,0,152.9,119,25.99,171.2,107,14.55,257.0,106,11.57,12.0,5,3.24,2,0,55.35,593.1,339,0.09332321699544764,2,0.00023119235
TX,90,area_code_408,0,1,27,156.7,51,26.64,236.5,118,20.1,123.2,111,5.54,12.6,6,3.4,2,0,55.68,529.0,288,0.10525519848771267,0,7.074619e-05
AK,86,area_code_408,0,0,0,150.8,85,25.64,295.9,88,25.15,247.2,104,11.12,12.5,1,3.38,1,0,65.28999999999999,706.4,279,0.09242638731596828,1,0.0010761408
TN,37,area_code_415,0,0,0,221.0,126,37.57,204.5,110,17.38,118.0,98,5.31,6.8,3,1.84,4,0,62.10000000000001,550.3,341,0.11284753770670546,1,0.002497216
NH,141,area_code_415,0,1,32,322.4,92,54.81,283.2,107,24.07,209.5,111,9.43,6.7,3,1.81,1,1,90.12,821.8,314,0.10966171817960575,3,0.9789959
NM,148,area_code_408,0,0,0,153.6,148,26.11,262.1,87,22.28,225.5,99,10.15,9.8,3,2.65,2,0,61.19,651.0,339,0.09399385560675882,1,0.00024484532
MN,163,area_code_408,0,1,22,215.1,91,36.57,138.9,102,11.81,146.2,109,6.58,12.4,2,3.35,2,0,58.31,512.6,306,0.11375341396800624,0,2.2570357e-05
IA,89,area_code_415,0,1,35,174.4,108,29.65,196.7,100,16.72,127.4,74,5.73,11.8,3,3.19,1,0,55.28999999999999,510.3,286,0.10834803057025277,0,3.4071996e-05
RI,63,area_code_415,0,0,0,180.5,126,30.69,230.0,98,19.55,232.5,73,10.46,10.6,3,2.86,0,0,63.56,653.6,300,0.09724602203182374,1,4.694558e-05
AL,102,area_code_415,0,0,0,123.1,106,20.93,182.0,102,15.47,244.6,75,11.01,12.6,7,3.4,2,0,50.809999999999995,562.3000000000001,292,0.09036101725057796,2,0.0011201361
NC,76,area_code_510,0,0,0,165.7,94,28.17,257.4,80,21.88,170.8,114,7.69,10.0,4,2.7,1,0,60.44,603.9,293,0.10008279516476237,1,0.00015858903
SD,104,area_code_408,0,0,0,200.2,92,34.03,118.7,87,10.09,236.6,65,10.65,6.0,6,1.62,2,0,56.39,561.5,252,0.10042742653606411,1,0.00036045566
MT,109,area_code_510,0,0,0,154.8,82,26.32,287.7,109,24.45,208.4,80,9.38,5.9,9,1.59,3,0,61.74,656.8,283,0.0940012180267966,1,5.740569e-06
HI,105,area_code_510,0,0,0,125.4,116,21.32,261.5,95,22.23,241.6,104,10.87,11.4,9,3.08,2,0,57.49999999999999,639.9,326,0.0898577902797312,2,5.1523666e-06
MT,63,area_code_415,0,1,33,184.2,111,31.31,312.6,89,26.57,264.0,55,11.88,12.2,4,3.29,1,0,73.05,773.0,260,0.0945019404915912,0,8.72319e-05
KY,105,area_code_415,0,1,24,274.7,99,46.7,193.5,118,16.45,299.6,109,13.48,10.8,3,2.92,3,0,79.55000000000001,778.5999999999999,332,0.1021705625481634,0,0.0008014453
DC,68,area_code_415,1,1,39,142.0,140,24.14,241.6,89,20.54,302.0,72,13.59,11.3,5,3.05,1,0,61.31999999999999,696.9,307,0.08798966853207059,0,0.0001044282
CO,63,area_code_408,1,1,21,151.5,99,25.76,147.8,89,12.56,210.4,114,9.47,10.0,4,2.7,1,0,50.49,519.7,307,0.09715220319415047,0,0.000104791405
MI,74,area_code_415,0,0,0,124.8,114,21.22,133.0,121,11.31,160.3,85,7.21,10.6,7,2.86,3,0,42.6,428.70000000000005,330,0.09937018894331699,2,0.0004861896
AL,76,area_code_415,0,0,0,179.2,85,30.46,222.9,66,18.95,188.2,113,8.47,12.4,2,3.35,0,0,61.23,602.6999999999999,266,0.10159283225485316,1,0.002374092
KS,91,area_code_408,1,0,0,246.4,110,41.89,182.0,98,15.47,157.6,106,7.09,12.1,2,3.27,2,1,67.72,598.1,318,0.11322521317505434,3,0.99782014
NC,101,area_code_415,0,0,0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,11.5,6,3.11,5,0,65.41000000000001,583.9000000000001,370,0.11202260661072101,1,0.00029894753
SC,116,area_code_408,0,0,0,288.0,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,1,84.82000000000001,790.5999999999999,313,0.1072856058689603,3,0.99945694
CO,131,area_code_415,0,1,23,170.8,145,29.04,236.7,93,20.12,294.5,100,13.25,12.7,1,3.43,1,0,65.84,714.7,340,0.09212256891003218,0,2.485683e-05
MN,84,area_code_415,0,0,0,216.1,114,36.74,197.5,107,16.79,217.8,104,9.8,9.8,3,2.65,1,0,65.98,641.2,329,0.1029008109794136,1,3.518159e-05
WY,104,area_code_415,0,0,0,138.7,100,23.58,215.4,58,18.31,164.3,98,7.39,4.9,4,1.32,2,0,50.6,523.3000000000001,262,0.0966940569463023,2,0.000112010646
FL,108,area_code_510,0,0,0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,9.2,5,2.48,3,0,70.0,712.2,283,0.09828699803426004,1,0.0022838656
NY,111,area_code_415,0,0,0,181.8,117,30.91,158.1,91,13.44,266.2,123,11.98,9.7,9,2.62,0,0,58.949999999999996,615.8,340,0.09572913283533614,1,4.472123e-05
OK,155,area_code_408,0,1,30,61.6,103,10.47,255.1,110,21.68,225.9,96,10.17,12.4,5,3.35,1,0,45.67,555.0,315,0.0822882882882883,0,0.00027758625
ME,66,area_code_510,0,0,0,207.7,85,35.31,196.7,112,16.72,261.7,83,11.78,6.8,3,1.84,1,0,65.65,672.8999999999999,284,0.09756278793282809,1,0.000705492
NE,64,area_code_510,0,0,0,219.2,73,37.26,167.0,65,14.2,161.4,119,7.26,10.0,5,2.7,1,0,61.419999999999995,557.6,263,0.11015064562410329,1,0.00038662288
OH,69,area_code_415,0,0,0,227.0,122,38.59,258.7,111,21.99,169.7,87,7.64,8.9,1,2.4,2,0,70.62,664.3,323,0.1063073912388981,1,0.004220956
CT,116,area_code_415,0,0,0,245.9,73,41.8,240.1,87,20.41,158.7,89,7.14,8.9,5,2.4,3,0,71.75,653.6,257,0.1097766217870257,1,2.2669261e-05
DC,101,area_code_415,0,0,0,257.3,84,43.74,184.8,115,15.71,108.9,109,4.9,13.5,7,3.65,0,0,68.00000000000001,564.5,315,0.12046058458813111,1,0.000512442
OK,15,area_code_415,0,0,0,121.1,130,20.59,216.0,86,18.36,235.1,33,10.58,16.1,5,4.35,2,0,53.88,588.3000000000001,256,0.09158592554818969,2,0.0035418707
NJ,88,area_code_415,0,0,0,301.5,136,51.26,257.7,72,21.9,132.9,118,5.98,13.4,2,3.62,4,1,82.76,705.5,332,0.11730687455705174,3,0.99945456
IA,197,area_code_415,0,0,0,233.9,96,39.76,218.9,111,18.61,182.9,109,8.23,9.5,3,2.57,0,0,69.16999999999999,645.2,319,0.10720706757594542,1,0.00037888382
VA,50,area_code_415,1,0,0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,2,1,54.120000000000005,583.2,280,0.09279835390946502,3,0.99377006
VA,172,area_code_510,0,0,0,169.8,123,28.87,183.1,94,15.56,395.0,72,17.77,12.7,7,3.43,2,0,65.63000000000001,760.6,298,0.086287141730213,1,2.0725078e-05
NM,188,area_code_415,1,1,26,198.8,115,33.8,166.6,67,14.16,198.5,118,8.93,14.4,3,3.89,1,1,60.779999999999994,578.3,304,0.10510115856821718,3,0.99563295
FL,85,area_code_408,1,0,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,10.1,3,2.73,3,0,51.18999999999999,560.1999999999999,328,0.09137807925740807,2,0.0013880328
RI,103,area_code_510,1,0,0,255.9,128,43.5,140.9,92,11.98,308.9,130,13.9,12.1,2,3.27,1,1,72.65,717.8000000000001,353,0.10121203677904708,3,0.9961274
NJ,136,area_code_408,0,1,27,187.7,84,31.91,221.0,147,18.79,145.7,110,6.56,10.0,4,2.7,3,0,59.96000000000001,564.4,348,0.10623671155209073,0,0.0008981815
NE,155,area_code_408,0,1,21,195.9,91,33.3,213.9,84,18.18,88.2,111,3.97,8.6,4,2.32,0,0,57.769999999999996,506.6,290,0.11403474141334385,0,0.0013299374
WV,145,area_code_415,0,0,0,129.4,97,22.0,185.4,101,15.76,204.7,106,9.21,1.1,2,0.3,2,0,47.269999999999996,520.6,308,0.09079907798693813,2,0.0007612533
WY,116,area_code_510,0,1,12,221.0,108,37.57,151.0,118,12.84,179.0,80,8.06,9.0,6,2.43,2,0,60.9,560.0,314,0.10875,1,2.4413499e-05
SC,152,area_code_408,0,0,0,140.5,92,23.89,186.8,96,15.88,227.0,89,10.22,9.5,5,2.57,2,0,52.56,563.8,284,0.09322454771195461,2,6.445247e-05
MS,65,area_code_415,1,0,0,277.9,123,47.24,155.8,112,13.24,256.9,71,11.56,9.2,10,2.48,0,1,74.52000000000001,699.8,316,0.10648756787653617,3,0.99914515
ND,180,area_code_415,0,0,0,224.9,105,38.23,250.0,101,21.25,216.1,73,9.72,6.7,5,1.81,3,1,71.01,697.7,287,0.10177726816683388,3,0.9898318
IL,67,area_code_415,0,0,0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,0,0,48.970000000000006,527.6999999999999,388,0.09279893879097975,2,5.0771654e-05
OR,60,area_code_415,0,0,0,207.8,109,35.33,123.5,112,10.5,291.6,115,13.12,5.7,9,1.54,0,0,60.489999999999995,628.6000000000001,345,0.09622971683105311,1,8.129614e-05
UT,138,area_code_510,0,0,0,205.9,96,35.0,257.1,94,21.85,209.0,63,9.4,12.1,8,3.27,0,0,69.52,684.1,261,0.10162256979973687,1,0.0002562118
IA,44,area_code_415,0,0,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4,1,76.19,665.4,306,0.11450255485422302,3,0.99840325
ME,25,area_code_510,0,0,0,242.6,69,41.24,209.0,117,17.77,219.7,82,9.89,14.4,6,3.89,2,0,72.79,685.6999999999999,276,0.10615429488114338,1,0.008224958
WY,145,area_code_408,0,0,0,229.6,82,39.03,138.1,103,11.74,250.8,109,11.29,3.3,3,0.89,1,0,62.95,621.8,298,0.10123834030234803,1,8.577076e-05
WI,122,area_code_510,0,1,28,166.0,62,28.22,233.9,88,19.88,170.1,84,7.65,7.7,3,2.08,2,0,57.82999999999999,577.7,239,0.10010386013501815,0,7.021824e-05
SC,121,area_code_415,0,0,0,144.8,126,24.62,200.6,82,17.05,208.8,81,9.4,13.3,9,3.59,0,1,54.66,567.5,298,0.09631718061674008,3,0.9827628
DC,55,area_code_510,1,0,0,106.1,77,18.04,123.5,100,10.5,96.4,92,4.34,12.9,3,3.48,0,0,36.35999999999999,338.9,272,0.10728828562997933,2,0.0057741385
CT,77,area_code_415,0,0,0,221.8,84,37.71,166.0,125,14.11,210.2,72,9.46,13.2,4,3.56,1,0,64.84,611.2,286,0.10608638743455497,1,0.00016545782
